code,term
447971000000105,"[X]Other primarily systemic agents causing adverse effects in therapeutic use, not elsewhere classified (disorder)"
267276009,Obstetric anesthesia with pulmonary complications (disorder)
218842006,Adverse reaction caused by sympatholytic (disorder)
406447009,Adverse reaction caused by oleandomycin (disorder)
218475006,Adverse reaction caused by posterior pituitary hormones (disorder)
292067005,Levorphanol adverse reaction (disorder)
218416003,Adverse reaction caused by hexamine (disorder)
292223000,Mitozantrone adverse reaction (disorder)
292558002,Ethamivan adverse reaction (disorder)
292354004,Potassium clorazepate adverse reaction (disorder)
293270007,Lypressin adverse reaction (disorder)
218968003,Adverse reaction caused by chlormerodrin (disorder)
293208001,Allylestrenol adverse reaction (disorder)
293498008,Debrisoquine adverse reaction (disorder)
292201004,Thiotepa adverse reaction (disorder)
293005006,Cephamandole adverse reaction (disorder)
218869007,Adverse reaction caused by pentamethonium bromide (disorder)
367261000119100,Hyperosmolarity due to drug induced diabetes mellitus (disorder)
408673004,Adverse reaction caused by anterior pituitary hormone (disorder)
293048000,Clomocycline sodium adverse reaction (disorder)
293384004,Multivitamin and mineral preparations adverse reaction (disorder)
292200003,Treosulfan adverse reaction (disorder)
218395001,Adverse reaction caused by male fern oleoresin (disorder)
219015004,Adverse reaction caused by adiphenine (disorder)
766054009,Adverse reaction caused by adrenochrome (disorder)
218924000,Adverse reaction caused by alexitol sodium (disorder)
292212004,Carmustine adverse reaction (disorder)
218813003,Adverse reaction caused by levallorphan (disorder)
218326006,Adverse reaction caused by antineoplastic antibiotics (disorder)
840371000000100,Acute renal failure induced by aminoglycoside (disorder)
218928002,Adverse reaction caused by magaldrate (disorder)
218379001,Adverse reaction caused by cycloguanil (disorder)
293200008,Tolazamide adverse reaction (disorder)
219083000,Adverse reaction to vaccine product containing Yersinia pestis antigen (disorder)
218406006,Adverse reaction caused by ethionamide (disorder)
218369003,Adverse reaction caused by chiniofon (disorder)
218626001,Adverse reaction caused by pyrabital (disorder)
293485004,Mersalyl adverse reaction (disorder)
218634007,Adverse reaction caused by oxazolidine derivative (disorder)
292527003,Biperiden adverse reaction (disorder)
293561005,Isoxsuprine adverse reaction (disorder)
292216001,Cytotoxic antibiotic adverse reaction (disorder)
218643003,Adverse reaction caused by phensuximide (disorder)
218808002,Adverse reaction caused by lobeline (disorder)
292843001,Vidarabine adverse reaction (disorder)
111382002,Chemically-induced lipidosis (disorder)
292541007,Methixene adverse reaction (disorder)
218635008,Adverse reaction caused by paramethadione (disorder)
826271000000106,Acute nephropathy induced by heavy metals (disorder)
191262007,Secondary sideroblastic anemia caused by drugs and toxins (disorder)
218794000,Adverse reaction caused by mescaline (disorder)
292355003,Ketazolam adverse reaction (disorder)
200049006,Obstetric anesthesia with pulmonary complications - delivered (disorder)
10901008,Contact dermatitis caused by poison sumac (disorder)
